chunkName,ecodata_object,plain.language.figure.description,fig_cap_ne,fig_cap_ma,fig_cap_both,fig_path_ne,fig_path_ma,fig_path_both,slide_fig_path_ma,slide_fig_path_ne,slide_fig_path_both,alt_text_ma,alt_text_ne,alt_text_both
abcacl-catch,abc_acl,dot plot showing catch per ABC or ACL by year,NA,Catch divided by ABC/ACL for MAFMC managed fisheries. High points are recreational black sea bass (up to 2021) and scup (2022). Red line indicates the median ratio across all fisheries.,NA,NA,images\MidAtlantic\abcacl_catch_MidAtlantic,NA,images\MidAtlantic\slide_abcacl_catch_MidAtlantic,NA,NA,NA,NA,NA
abcacl-stacked,abc_acl,"bar plot showing ABC or ACL, colored by species",NA,Sum of catch limits (in metric tons) across all MAFMC managed commercial (C) and recreational (R) fsheries,NA,NA,images\MidAtlantic\abcacl_stacked_MidAtlantic,NA,images\MidAtlantic\slide_abcacl_stacked_MidAtlantic,NA,NA,NA,NA,NA
bennet,bennet,bar plot colored by price and volume,"Revenue change from 1982 values in 2023 dollars (black); Price (blue), and Volume Indicators (green) for total
commercial landings in Georges Bank (GB: top) and the Gulf of Maine (GOM: bottom)","Revenue change from 1982 values in 2023 dollars (black); Price (blue), and Volume Indicators (green) for total commercial landings in the Mid-Atlantic Bight.",NA,images\NewEngland\bennet_NewEngland,images\MidAtlantic\bennet_MidAtlantic,NA,images\MidAtlantic\slide_bennet_MidAtlantic,images\NewEngland\slide_bennet_NewEngland,NA,NA,NA,NA
bennet-all,bennet,bar plot colored by guild,"Total price and volume indicators in 2023 dollars (black) for commercial landings, and individual guild contributions to each indicator from Georges Bank (GB: top panels) and the Gulf of Maine (GOM: bottom panels)","Total price (top) and volume (bottom) indicators in 2023 dollars (black) for commercial landings, and individual guild contributions to each indicator, in the Mid-Atlantic Bight.",NA,images\NewEngland\bennet_all_NewEngland,images\MidAtlantic\bennet_all_MidAtlantic,NA,images\MidAtlantic\slide_bennet_all_MidAtlantic,images\NewEngland\slide_bennet_all_NewEngland,NA,NA,NA,NA
benthos,bethos_index,line plot colored by season and faceted by macro/megabenthos,Changes in benthos abundance in New England for megabenthos (top) and macrobenthos (bottom).,Changes in spring (blue) and fall (red) benthos abundance in the MAB for megabenthos (top) and macrobenthos (bottom).,NA,images\NewEngland\benthos_NewEngland,images\MidAtlantic\benthos_MidAtlantic,NA,images\MidAtlantic\slide_benthos_MidAtlantic,images\NewEngland\slide_benthos_NewEngland,NA,NA,NA,NA
calfin-cog,zooplankton_index,faceted line plot of eastward and northward Calanus center of gravity,Eastward (left) and northward (right) shifts in the center of gravity for *Calanus finmarchicus* on the Northeast U.S. Shelf.,NA,NA,images\NewEngland\calfin_cog_NewEngland,NA,NA,,images\NewEngland\slide_calfin_cog_NewEngland,NA,NA,NA,NA
chl-month,chl_pp,"faceted monthly median chlorophyll, with one facet for each month",Monthly median chlorophyll a concentration time series for Georges Bank (top) and Gulf of Maine (bottom). Significant positive trends (orange lines) in fall and early winter are based on a 26 year time series.,Monthly median chlorophyll a concentration in the MAB (black) with significant increase in January (orange line) and decrease in September (purple line).,NA,images\NewEngland\monthly_chl_NewEngland,images\MidAtlantic\monthly_chl_MidAtlantic,NA,images\MidAtlantic\slide_monthly_chl_MidAtlantic,images\NewEngland\slide_monthly_chl_NewEngland,NA,NA,NA,NA
climatevul-land,community_climate_vulnerability,"line plot of landings vulnerability, with background stripes of color showing total climate vulnerability",New England region total climate vulnerability of commercial landings (sum of New England port landings weighted by species climate vulnerability from Hare et al. 2016). Horizontal colored bars show different climate risk levels.,"Mid-Atlantic region total climate vulnerability of commercial landings (sum of Mid-Atlantic port landings weighted by species climate vulnerability from Hare et al. 2016). Horizontal colored bars show different
climate risk levels.",NA,images\NewEngland\climatevul_land_NewEngland,images\MidAtlantic\climatevul_land_MidAtlantic,NA,images\MidAtlantic\slide_climatevul_land_MidAtlantic,images\NewEngland\slide_climatevul_land_NewEngland,NA,NA,NA,NA
climatevul-rev,community_climate_vulnerability,"line plot of revenue vulnerability, with background stripes of color showing total climate vulnerability",New England region total climate vulnerability of commercial revenue (sum of New England port revenue weighted by species climate vulnerability from Hare et al. 2016). Horizontal colored bars show different climate risk levels.,"Mid-Atlantic region total climate vulnerability of commercial revenue (sum of Mid-Atlantic port revenue weighted by species climate vulnerability from Hare et al. 2016). Horizontal colored bars show different
climate risk levels. ",NA,images\NewEngland\climatevul_rev_NewEngland,images\MidAtlantic\climatevul_rev_MidAtlantic,NA,images\MidAtlantic\slide_climatevul_rev_MidAtlantic,images\NewEngland\slide_climatevul_rev_NewEngland,NA,NA,NA,NA
cocobloom,NA,statellite image of the Northeast Shelf with cocolithophore bloom off of Long Island,NA,NA,"An OLCI Sentinel 3A true color image with enhanced contrast captured on July 2, 2024. Coccolithophores shed their coccolith plates during the later stages of the bloom cycle, which results in the milky turquoise water color (Image credit: NOAA STAR, OCView and Ocean Color Science Team).",NA,NA,images\BothReports\20240702_Long_Island_algae_bloom-cropped_KimHyde-2025.png,,NA,images\BothReports\20240702_Long_Island_algae_bloom-cropped_KimHyde-2025.png,NA,NA,NA
